timestamp,cpu_percent,memory_percent,memory_mb,active_workers,queued_tasks
2025-12-11T16:54:22.192858,26.0,65.9,5147.671875,0,0
2025-12-11T16:54:23.194417,25.8,65.9,5147.671875,0,0
2025-12-11T16:54:24.195601,26.4,66.0,5151.26953125,0,0
2025-12-11T16:54:25.197015,25.8,66.0,5151.640625,0,0
2025-12-11T16:54:26.198488,26.2,66.0,5156.5078125,0,0
2025-12-11T16:54:27.199378,27.2,65.8,5140.8671875,0,0
2025-12-11T16:54:28.200722,26.8,65.8,5142.20703125,0,0
2025-12-11T16:54:29.202131,25.4,65.8,5142.6953125,0,0
2025-12-11T16:54:30.203661,27.2,65.9,5148.02734375,0,0
2025-12-11T16:54:31.205333,26.5,66.0,5155.2421875,0,0
2025-12-11T16:54:32.206966,29.5,63.8,4986.29296875,0,0
2025-12-11T16:54:33.208661,29.4,65.1,5081.40625,0,0
2025-12-11T16:54:34.210236,36.4,66.7,5206.9375,0,0
2025-12-11T16:54:35.211640,30.2,67.3,5255.10546875,0,0
2025-12-11T16:54:36.212956,24.3,58.3,4555.0,0,0
2025-12-11T16:54:37.214405,20.7,62.7,4894.15625,0,0
2025-12-11T16:54:38.215250,21.7,65.7,5130.9765625,0,0
2025-12-11T16:54:39.216815,26.1,67.4,5261.8125,0,0
2025-12-11T16:54:40.218396,26.0,67.6,5276.296875,0,0
2025-12-11T16:54:41.219334,25.9,67.6,5281.75,0,0
2025-12-11T16:54:42.220424,25.7,67.7,5284.78125,0,0
2025-12-11T16:54:43.221071,26.5,67.7,5288.26953125,0,0
2025-12-11T16:54:44.222671,25.7,67.7,5291.1640625,0,0
2025-12-11T16:54:45.224298,25.9,67.8,5293.67578125,0,0
2025-12-11T16:54:46.225771,26.1,67.8,5298.7890625,0,0
2025-12-11T16:54:47.227465,27.5,67.9,5303.796875,0,0
2025-12-11T16:54:48.229107,26.6,67.9,5303.9765625,0,0
2025-12-11T16:54:49.230796,26.3,68.0,5307.1875,0,0
2025-12-11T16:54:50.232267,25.9,68.0,5312.36328125,0,0
2025-12-11T16:54:51.233951,24.8,68.0,5313.10546875,0,0
2025-12-11T16:54:52.235373,26.1,68.0,5312.578125,0,0
2025-12-11T16:54:53.237101,26.7,68.0,5312.6953125,0,0
2025-12-11T16:54:54.238551,25.9,68.1,5316.328125,0,0
2025-12-11T16:54:55.240151,26.6,68.1,5317.24609375,0,0
2025-12-11T16:54:56.241747,26.2,68.1,5318.64453125,0,0
2025-12-11T16:54:57.243286,29.0,68.1,5318.0078125,0,0
2025-12-11T16:54:58.244817,26.1,68.1,5320.1484375,0,0
2025-12-11T16:54:59.246434,26.1,68.1,5317.71484375,0,0
2025-12-11T16:55:00.247833,25.9,68.1,5322.43359375,0,0
2025-12-11T16:55:01.249388,26.2,68.2,5323.25390625,0,0
2025-12-11T16:55:02.251127,25.5,68.2,5323.69921875,0,0
2025-12-11T16:55:03.252750,26.0,68.2,5323.328125,0,0
2025-12-11T16:55:04.254477,26.2,68.2,5323.26953125,0,0
2025-12-11T16:55:05.255902,25.0,68.2,5328.1171875,0,0
2025-12-11T16:55:06.257310,26.1,68.4,5339.56640625,0,0
2025-12-11T16:55:07.259066,26.4,68.4,5340.13671875,0,0
2025-12-11T16:55:08.260588,15.6,58.6,4573.12109375,0,0
2025-12-11T16:55:09.261590,14.2,63.0,4922.0546875,0,0
2025-12-11T16:55:10.263257,18.5,66.3,5177.8515625,0,0
2025-12-11T16:55:11.264894,25.9,67.9,5302.84375,0,0
2025-12-11T16:55:12.266386,25.3,68.1,5315.91015625,0,0
2025-12-11T16:55:13.267938,25.0,68.1,5319.09765625,0,0
2025-12-11T16:55:14.269536,25.8,68.2,5322.69140625,0,0
2025-12-11T16:55:15.271100,25.9,68.2,5324.4296875,0,0
2025-12-11T16:55:16.272733,25.7,68.2,5327.6953125,0,0
2025-12-11T16:55:17.274422,25.5,68.3,5330.7578125,0,0
2025-12-11T16:55:18.276062,25.8,68.3,5334.68359375,0,0
2025-12-11T16:55:19.277543,25.6,68.3,5335.46875,0,0
2025-12-11T16:55:20.278308,25.8,68.4,5340.4609375,0,0
2025-12-11T16:55:21.280032,25.7,68.4,5339.6796875,0,0
2025-12-11T16:55:22.281744,25.0,68.4,5340.82421875,0,0
2025-12-11T16:55:23.283532,25.7,68.4,5340.8203125,0,0
2025-12-11T16:55:24.284954,25.5,68.4,5342.05078125,0,0
2025-12-11T16:55:25.286451,25.9,68.4,5345.93359375,0,0
2025-12-11T16:55:26.288052,26.9,68.4,5345.8203125,0,0
2025-12-11T16:55:27.289560,26.4,68.4,5344.1875,0,0
2025-12-11T16:55:28.291249,26.5,68.4,5343.3203125,0,0
2025-12-11T16:55:29.292885,25.8,68.4,5344.79296875,0,0
2025-12-11T16:55:30.294406,25.9,68.5,5353.06640625,0,0
2025-12-11T16:55:31.296084,25.5,68.5,5353.44140625,0,0
2025-12-11T16:55:32.297609,26.0,68.5,5353.828125,0,0
2025-12-11T16:55:33.299278,25.3,68.6,5354.06640625,0,0
2025-12-11T16:55:34.300803,25.8,68.6,5353.96484375,0,0
2025-12-11T16:55:35.302322,25.3,68.6,5358.1015625,0,0
2025-12-11T16:55:36.304009,24.3,68.6,5357.01171875,0,0
2025-12-11T16:55:37.305928,25.5,68.8,5370.453125,0,0
2025-12-11T16:55:38.307388,27.1,68.8,5370.69921875,0,0
2025-12-11T16:55:39.309122,9.3,62.0,4842.26953125,0,0
2025-12-11T16:55:40.310774,15.4,63.3,4941.265625,0,0
2025-12-11T16:55:41.312446,22.6,66.5,5196.83984375,0,0
2025-12-11T16:55:42.313922,26.1,67.7,5285.90234375,0,0
2025-12-11T16:55:43.315475,25.9,67.8,5293.6015625,0,0
2025-12-11T16:55:44.317022,25.8,67.8,5296.8203125,0,0
2025-12-11T16:55:45.318483,25.8,67.8,5299.0859375,0,0
2025-12-11T16:55:46.320105,26.4,67.9,5302.66015625,0,0
2025-12-11T16:55:47.321745,26.0,67.9,5305.0234375,0,0
2025-12-11T16:55:48.323424,26.1,68.0,5309.93359375,0,0
2025-12-11T16:55:49.324984,25.6,68.0,5312.59375,0,0
2025-12-11T16:55:50.326790,25.6,68.0,5314.01171875,0,0
2025-12-11T16:55:51.328331,26.1,68.0,5314.640625,0,0
2025-12-11T16:55:52.329755,26.0,68.1,5319.8359375,0,0
2025-12-11T16:55:53.331303,26.2,68.1,5319.57421875,0,0
2025-12-11T16:55:54.332814,24.5,68.1,5318.9375,0,0
2025-12-11T16:55:55.334448,26.1,68.1,5319.12890625,0,0
2025-12-11T16:55:56.336027,25.9,68.2,5324.98046875,0,0
2025-12-11T16:55:57.337395,26.0,68.2,5325.140625,0,0
